Date,MSCI Emerging Markets Minimum Volatility
05/1993,10000
06/1993,10213.904837933824
07/1993,10463.835753835447
08/1993,10947.270922247128
09/1993,11133.030386768605
10/1993,11985.630507537844
11/1993,12614.14228253861
12/1993,14749.557350036332
01/1994,15015.761409110912
02/1994,14809.072021451893
03/1994,13415.159609853952
04/1994,13485.57421679102
05/1994,13932.06218592322
06/1994,13485.420696572406
07/1994,13935.337283920291
08/1994,15175.268916249604
09/1994,15482.309353475188
10/1994,15822.766024952154
11/1994,15301.053148699684
12/1994,14306.753866150839
01/1995,13098.805612699194
02/1995,12989.29452342207
03/1995,13011.094394465083
04/1995,13488.59344775707
05/1995,14398.047222819247
06/1995,14450.55113758482
07/1995,14629.96509973697
08/1995,14240.688998741136
09/1995,14229.430849376196
10/1995,14008.361734573778
11/1995,13585.771746138968
12/1995,14226.974525878393
01/1996,14792.23597081069
02/1996,14716.294636003562
03/1996,14824.475216719375
04/1996,15374.947547258642
05/1996,15355.296959276204
06/1996,15285.854647057018
07/1996,14466.36372010194
08/1996,14747.049853132325
09/1996,14897.397320560452
10/1996,14579.149907376135
11/1996,14599.158709202004
12/1996,14802.112438208113
01/1997,15595.237475308833
02/1997,16099.881886661142
03/1997,15884.515715353047
04/1997,16137.562989345697
05/1997,16478.229978404823
06/1997,17096.02348859345
07/1997,17457.62204345646
08/1997,16504.25658345871
09/1997,16808.495179465135
10/1997,14810.861043732795
11/1997,14096.599245703994
12/1997,14043.380279816187
01/1998,13051.205978077314
02/1998,13856.163345512605
03/1998,14722.813641806626
04/1998,14848.70644887265
05/1998,13540.10556050232
06/1998,12166.888933239174
07/1998,12458.81162557442
08/1998,9652.887065409848
09/1998,10049.945689663997
10/1998,10794.592132600534
11/1998,11643.375300643764
12/1998,12036.95132385602
01/1999,11443.675094926668
02/1999,11369.438673790006
03/1999,12707.576729405262
04/1999,14044.68541148536
05/1999,14142.680278792719
06/1999,15061.047601502452
07/1999,14896.093079308546
08/1999,15206.310581636935
09/1999,14828.088632339548
10/1999,14695.467320662801
11/1999,15606.6900529133
12/1999,16541.775947475617
01/2000,16817.862804097967
02/2000,16977.68209544864
03/2000,16495.04907017921
04/2000,15056.081207078309
05/2000,14665.295797639883
06/2000,15006.644585341892
07/2000,14630.744158555683
08/2000,14449.095525397363
09/2000,13727.04228970289
10/2000,12846.105458155507
11/2000,12277.820580920508
12/2000,12838.13362399828
01/2001,13826.684295905105
02/2001,13207.656544566918
03/2001,12221.208807966676
04/2001,12526.972745043857
05/2001,12605.185048154177
06/2001,12372.037325882484
07/2001,11823.423398528252
08/2001,11908.251215368398
09/2001,10631.709181532542
10/2001,11119.899121864351
11/2001,11884.149155127065
12/2001,12464.385658141176
01/2002,12802.263322996305
02/2002,12940.492595208121
03/2002,13657.159405160328
04/2002,13734.085541465813
05/2002,13572.826813841384
06/2002,12888.10580613467
07/2002,12401.74834965765
08/2002,12635.02927630569
09/2002,11715.74506432497
10/2002,11955.305356832161
11/2002,12510.826829193406
12/2002,12476.32454174215
01/2003,12436.224262335352
02/2003,12177.59617018228
03/2003,12031.720142876151
04/2003,12904.971481060724
05/2003,13744.663903302735
06/2003,14484.71379737378
07/2003,15244.108891891063
08/2003,16109.983394229688
09/2003,16362.353132324195
10/2003,17644.35323467101
11/2003,17865.695502881066
12/2003,19179.976639340068
01/2004,19446.815120718064
02/2004,20227.17416868802
03/2004,20687.994370925317
04/2004,19580.063567605186
05/2004,19290.104148116305
06/2004,19609.510915287545
07/2004,19565.228402263914
08/2004,19935.07671917058
09/2004,21192.57451871412
10/2004,21822.18830790015
11/2004,24094.871912964278
12/2004,25435.5052401568
01/2005,25365.201710215235
02/2005,27190.04360997677
03/2005,25828.364600284527
04/2005,25604.4156815786
05/2005,26189.109981884616
06/2005,27143.0410564238
07/2005,28824.514451369916
08/2005,29315.33735556306
09/2005,31288.90939748432
10/2005,29566.388273102235
11/2005,31400.272155526218
12/2005,32914.08220495973
01/2006,35712.64475933147
02/2006,35876.159666144704
03/2006,36354.48269315402
04/2006,38111.55116317153
05/2006,34658.076990389636
06/2006,34079.98779514262
07/2006,34789.045145178956
08/2006,35609.67678876642
09/2006,36437.45923014728
10/2006,38308.07871493342
11/2006,41046.66650802911
12/2006,43369.082245898455
01/2007,43146.33910057622
02/2007,42934.29015833052
03/2007,44221.93313171012
04/2007,46786.44379624797
05/2007,48838.753697278604
06/2007,50505.186588473705
07/2007,52000.9979837678
08/2007,51164.18259183068
09/2007,55378.14122836645
10/2007,60668.27484213004
11/2007,56493.88938356515
12/2007,57360.036640158854
01/2008,52064.192637170316
02/2008,55083.93646309886
03/2008,53866.03902483958
04/2008,57009.286745064324
05/2008,57643.05198194603
06/2008,53599.7796984863
07/2008,52096.6083289836
08/2008,49133.85227261098
09/2008,42089.03322689265
10/2008,32739.049464214437
11/2008,31504.424626690008
12/2008,33361.61705916669
01/2009,30984.575168616375
02/2009,29704.98661815428
03/2009,32830.744061326215
04/2009,37097.3166866243
05/2009,41519.31771009242
06/2009,42117.88810934734
07/2009,46002.83992446806
08/2009,45730.84510321676
09/2009,49238.36503014114
10/2009,49623.303944446154
11/2009,51173.40620426376
12/2009,53169.26450368504
01/2010,51275.598529798786
02/2010,51733.55008032577
03/2010,55112.458642674406
04/2010,55780.71519558221
05/2010,52704.4347248701
06/2010,53673.85116918504
07/2010,58089.17612644862
08/2010,58767.15584116323
09/2010,64416.40641659371
10/2010,66365.52677507981
11/2010,64617.63600160466
12/2010,68530.88018471362
01/2011,65853.58713142524
02/2011,65221.16925955817
03/2011,68850.42046915296
04/2011,71942.0913271528
05/2011,71503.74255947916
06/2011,70976.9121508417
07/2011,71995.68037433429
08/2011,68374.2767265669
09/2011,60305.12876110912
10/2011,66153.4808099362
11/2011,63552.05581000514
12/2011,64297.671551543644
01/2012,68933.69798953763
02/2012,73138.39617862643
03/2012,72783.22073407243
04/2012,73528.62397542693
05/2012,67377.23396689293
06/2012,70428.07395287463
07/2012,72328.93584660222
08/2012,72549.88200704008
09/2012,75307.36335452241
10/2012,75139.9867971059
11/2012,75884.23974637351
12/2012,78598.05894668592
01/2013,80119.08916943413
02/2013,80659.22202874633
03/2013,80267.46825753902
04/2013,82138.392890432
05/2013,79682.2916826021
06/2013,76946.08009745412
07/2013,76854.74836113336
08/2013,74245.24503666277
09/2013,78403.56669251338
10/2013,81290.53988062192
11/2013,79130.85566038528
12/2013,78560.14936343461
01/2014,73559.34772434033
02/2014,75711.17797865742
03/2014,77913.64903035769
04/2014,79170.39512346408
05/2014,81032.73090753527
06/2014,82733.9738046006
07/2014,83873.21465277082
08/2014,85846.24261971231
09/2014,82167.30314259259
10/2014,83127.71654770624
11/2014,82005.60242829747
12/2014,79424.87524982622
01/2015,80291.49566075444
02/2015,81663.2071780027
03/2015,82264.09855670271
04/2015,86948.70570118008
05/2015,83811.20114805065
06/2015,81666.79149928465
07/2015,78602.31348639556
08/2015,71845.47808819161
09/2015,69867.34240336994
10/2015,73907.33451245475
11/2015,70234.4544116959
12/2015,69856.11555071775
01/2016,66766.61950951826
02/2016,66874.5987047379
03/2016,73462.06398021796
04/2016,73642.68815272686
05/2016,71511.50036985052
06/2016,74197.02133703695
07/2016,76230.89888004151
08/2016,77443.09473015257
09/2016,77662.59989442976
10/2016,76754.92235477506
11/2016,73254.26573228356
12/2016,72581.03392212436
01/2017,74479.5666903597
02/2017,76635.71827565806
03/2017,78679.87343864434
04/2017,79972.09778556295
05/2017,81598.75143987013
06/2017,82256.1496318154
07/2017,84985.44011272254
08/2017,86307.77297233713
09/2017,86065.17458246367
10/2017,87831.42994494086
11/2017,88043.71829545857
12/2017,91978.8373632078
01/2018,97422.31130003696
02/2018,93816.87856007303
03/2018,93793.30114477884
04/2018,93579.16472069053
05/2018,92121.27307366645
06/2018,88901.36796264972
07/2018,91159.10119213696
08/2018,90626.9328898
09/2018,90685.10446845158
10/2018,84421.09827141456
11/2018,87590.17724386818
12/2018,86668.93525321138
01/2019,91575.09246333757
02/2019,91909.85911589627
03/2019,92071.69512121122
04/2019,93295.53881315287
05/2019,88901.93799815157
06/2019,92446.76329426523
07/2019,91978.38008976784
08/2019,89496.09899573294
09/2019,89847.1554732955
10/2019,92021.3510407587
11/2019,90088.52841531558
12/2019,94020.01262704145
01/2020,90252.04647965691
02/2020,85215.08465763963
03/2020,75317.38511020642
04/2020,82394.52601074627
05/2020,81809.03897087876
06/2020,84646.66624971955
07/2020,89026.219710349
08/2020,90582.89210235028
09/2020,89129.90793939495
10/2020,89362.30942121537
11/2020,96067.24929361533
12/2020,101348.27446469326
01/2021,102142.03559314669
02/2021,103253.9309238907
03/2021,104205.5816734318
04/2021,105348.38083514893
05/2021,107949.93856097909
06/2021,107382.04187382519
07/2021,103131.00769118397
08/2021,107196.59130310289
09/2021,105238.3083774195
10/2021,105814.8654105496
11/2021,103500.39629819187
12/2021,106973.3214025192
01/2022,104841.27958566001
02/2022,105291.69988484794
03/2022,104521.575931734
04/2022,101016.08184502718
05/2022,99274.15492843659
06/2022,93842.60211616143
07/2022,94879.44910041275
08/2022,94169.90400962699
09/2022,87080.30338471575
10/2022,85668.65254900775
11/2022,93177.10529195296
12/2022,92050.47368734624
01/2023,95008.00372694297
02/2023,92191.88241600685
03/2023,94877.94672294786
04/2023,96787.37457115168
05/2023,95268.11491841273
06/2023,96503.01199520136
07/2023,99701.9606454775
08/2023,95825.34053002029
09/2023,94438.40674878152
10/2023,91196.60972089476
11/2023,96405.36972425705
12/2023,100250.06104261708
01/2024,98119.09644130938
02/2024,102176.53563392344
03/2024,102034.64841315907
04/2024,101385.30161174545
05/2024,101017.45662089848
06/2024,104639.24262755075
07/2024,107415.36336712506
08/2024,110777.94799262397
09/2024,115941.7263372566
10/2024,111002.18503584187
11/2024,109089.96192109898
12/2024,109306.3119417881
01/2025,109282.9761800006
02/2025,107302.60481399529
03/2025,108648.17502912249
04/2025,111680.99281482594
05/2025,114155.46803289748
06/2025,118683.7062639162
07/2025,118007.75758164295
08/2025,118885.69636826725
09/2025,121005.8988480147
10/2025,123863.27832279903
11/2025,122260.33752274369
12/2025,123970.52910670367
01/2026,129711.16563547055
02/2026,133018.83967322734
03/2026,121257.6729600279