Date,Dow Jones Emerging Markets Select Dividend
01/2012,11020.020180833946
02/2012,11883.142355939777
03/2012,11631.646608228328
04/2012,11406.569088248367
05/2012,10325.198926005769
06/2012,10809.946326330175
07/2012,10933.650548656655
08/2012,11155.947581346796
09/2012,11633.227760611617
10/2012,11481.796316758693
11/2012,11736.799444357086
12/2012,12374.428475250448
01/2013,12257.962497133645
02/2013,12033.926831290419
03/2013,11756.932267028484
04/2013,11982.738668238253
05/2013,11574.907792547163
06/2013,10901.387918838596
07/2013,10867.949912403097
08/2013,10653.958262103586
09/2013,11418.293782506746
10/2013,11974.33006634126
11/2013,11506.922027937542
12/2013,11135.926500893298
01/2014,10388.635267198131
02/2014,10677.85319904002
03/2014,11079.80274089456
04/2014,11222.032781284162
05/2014,11368.188287909885
06/2014,11503.85877601836
07/2014,11605.000445311678
08/2014,11798.71561790203
09/2014,10847.518889524777
10/2014,10739.66378565873
11/2014,10709.938651154953
12/2014,10129.955725934029
01/2015,10115.419483837128
02/2015,10372.39902824043
03/2015,9984.878152923864
04/2015,11107.712727235023
05/2015,10441.363105437447
06/2015,10204.476421658122
07/2015,9131.95321277579
08/2015,8151.470458932392
09/2015,7727.100788024113
10/2015,8232.418510212032
11/2015,7850.77783237048
12/2015,7681.518769922727
01/2016,7215.67644832474
02/2016,7468.9647116655415
03/2016,8376.355176238076
04/2016,8598.717739110236
05/2016,8032.5226672166655
06/2016,8595.427972457817
07/2016,9269.759303001287
08/2016,9287.247907070627
09/2016,9429.368667358993
10/2016,9574.069157732141
11/2016,9171.344806702296
12/2016,9303.168521611158
01/2017,9853.487107670588
02/2017,10401.603614463022
03/2017,10591.166900780818
04/2017,10637.632818765152
05/2017,10855.034216556134
06/2017,10796.908661011468
07/2017,11196.520517788815
08/2017,11578.261953020068
09/2017,11431.057395301212
10/2017,11492.92640984233
11/2017,11377.56866831543
12/2017,11721.75420698797
01/2018,12643.596444116414
02/2018,12334.192659398022
03/2018,12137.615276183911
04/2018,11798.7930798802
05/2018,11602.51247642109
06/2018,11274.870373108684
07/2018,11679.332978504443
08/2018,11374.562329169941
09/2018,11403.402332732434
10/2018,11010.750311587966
11/2018,11315.068499636767
12/2018,11053.370782127817
01/2019,12237.687250482824
02/2019,12080.263204059422
03/2019,11974.470406991199
04/2019,12116.973837027477
05/2019,11716.134331001944
06/2019,12394.778721762777
07/2019,12345.635157207807
08/2019,11601.563993324065
09/2019,11669.027031626221
10/2019,11933.035824413013
11/2019,12038.775212488954
12/2019,12797.653545999607
01/2020,12248.54490088773
02/2020,11208.48195403427
03/2020,9112.8718086174
04/2020,9943.976523906987
05/2020,10144.31611608293
06/2020,10222.72108493739
07/2020,10417.809739839968
08/2020,10354.350197932872
09/2020,9948.86051110038
10/2020,9895.012883262192
11/2020,11517.050134235073
12/2020,12508.095463270687
01/2021,12351.800013248081
02/2021,12904.158936448934
03/2021,13243.12204158335
04/2021,13467.883084874986
05/2021,13814.351763270892
06/2021,13612.182155534845
07/2021,13457.801948187689
08/2021,13987.36195515548
09/2021,14014.867964969193
10/2021,13911.323553900636
11/2021,13282.69384351042
12/2021,13960.260111262101
01/2022,13938.390454676717
02/2022,12942.564452650868
03/2022,11926.116897795502
04/2022,11255.373818201755
05/2022,11237.565896540247
06/2022,9925.777409786031
07/2022,9777.20855534405
08/2022,9752.303771787541
09/2022,8654.79538176989
10/2022,8727.21058895772
11/2022,9571.680146992152
12/2022,9571.960638898441
01/2023,10214.770815527376
02/2023,9670.05562821167
03/2023,9742.329358388022
04/2023,9949.114582600912
05/2023,9491.359840765444
06/2023,10051.165151731018
07/2023,10640.158666373674
08/2023,10091.54130823338
09/2023,10155.173103610274
10/2023,9835.504186332233
11/2023,10639.055164623513
12/2023,11462.854306282294
01/2024,11196.520896575996
02/2024,11370.130613868656
03/2024,11370.36650358458
04/2024,11877.405245321754
05/2024,12452.919239401026
06/2024,12253.354077613209
07/2024,12129.094932069018
08/2024,12424.664272636997
09/2024,13259.307333665432
10/2024,12684.974587404879
11/2024,12355.045177710133
12/2024,12426.604799356666
01/2025,12683.54097262794
02/2025,12609.791108813766
03/2025,13090.197702759924
04/2025,13029.333610605549
05/2025,13626.41735652098
06/2025,14045.935426539694
07/2025,14162.443071246225
08/2025,14644.059322049547
09/2025,14882.122992291823
10/2025,15285.86694371161
11/2025,15580.000207385978
12/2025,15910.038707788373
01/2026,17398.567303781965
02/2026,17972.78338359129
03/2026,17482.412792893043