Date,MSCI Europe Small Cap Value Weighted
11/1994,10000
12/1994,10095.460000000001
01/1995,10038.33
02/1995,10140.420000000002
03/1995,10395.490000000002
04/1995,10559.720000000001
05/1995,10808.390000000001
06/1995,10911.820000000002
07/1995,11294.02
08/1995,10874.840000000002
09/1995,11094.900000000001
10/1995,10871.12
11/1995,10596.140000000001
12/1995,10782.28
01/1996,10823.930000000002
02/1996,11290.760000000002
03/1996,11513.390000000001
04/1996,11628.699999999999
05/1996,11912.44
06/1996,11921.380000000001
07/1996,11713.330000000002
08/1996,11919.350000000002
09/1996,11814.47
10/1996,12087.7
11/1996,12461.86
12/1996,12823.470000000001
01/1997,13053.250000000002
02/1997,13186.470000000001
03/1997,13513.570000000002
04/1997,13163.31
05/1997,13642.080000000002
06/1997,13855.860000000002
07/1997,13840.160000000002
08/1997,13886.530000000002
09/1997,14680.460000000001
10/1997,14618.010000000002
11/1997,14355.130000000001
12/1997,14396.730000000001
01/1998,14817.74
02/1998,15932.240000000003
03/1998,17444.72
04/1998,18036.890000000003
05/1998,18805.290000000005
06/1998,18086.250000000004
07/1998,17859.730000000003
08/1998,15819.490000000002
09/1998,15030.660000000002
10/1998,15403.580000000002
11/1998,15734.020000000002
12/1998,15903.539999999999
01/1999,15606.440000000002
02/1999,15543.650000000001
03/1999,15800.650000000001
04/1999,16573.130000000005
05/1999,16394.68
06/1999,16548.030000000002
07/1999,17094.000000000004
08/1999,17317.97
09/1999,17168.850000000002
10/1999,16888.070000000003
11/1999,16827.460000000003
12/1999,17790.08
01/2000,17628.460000000003
02/2000,18084.06
03/2000,18043.800000000003
04/2000,17079.38
05/2000,17139.06
06/2000,17814.530000000002
07/2000,17623.100000000002
08/2000,17627.010000000002
09/2000,17268.940000000002
10/2000,16525.300000000003
11/2000,16571.74
12/2000,17757.9
01/2001,18412.99
02/2001,18158.22
03/2001,16751.47
04/2001,17550.120000000003
05/2001,17497.920000000002
06/2001,16772.940000000002
07/2001,16787.420000000002
08/2001,16988.300000000003
09/2001,14640.360000000002
10/2001,15175.450000000003
11/2001,16000.050000000003
12/2001,16299.56
01/2002,16101.2
02/2002,16382.030000000002
03/2002,17367.2
04/2002,18159.910000000003
05/2002,18710.660000000003
06/2002,17943.940000000002
07/2002,16041.940000000002
08/2002,15803.240000000002
09/2002,13895.310000000001
10/2002,14436.450000000003
11/2002,15294.760000000004
12/2002,15089.050000000001
01/2003,14782.080000000002
02/2003,14018.270000000002
03/2003,13893.180000000002
04/2003,15965.890000000001
05/2003,17996.4
06/2003,18426.54
07/2003,19391.74
08/2003,20127.54
09/2003,20987.47
10/2003,22694.820000000003
11/2003,23449.65
12/2003,24812.250000000004
01/2004,26209.040000000005
02/2004,27580.690000000002
03/2004,27105.800000000003
04/2004,26575.420000000002
05/2004,26612.590000000004
06/2004,27486.670000000006
07/2004,26528.530000000006
08/2004,26553.460000000003
09/2004,27891.890000000003
10/2004,28789.58
11/2004,31623.400000000005
12/2004,33616.54
01/2005,34210.840000000004
02/2005,36209.310000000005
03/2005,35086.270000000004
04/2005,33645.74
05/2005,34013.08
06/2005,34744.420000000006
07/2005,36378.55
08/2005,37459.76
09/2005,38304.48
10/2005,36409.740000000005
11/2005,37561.94
12/2005,39603.19
01/2006,43216.350000000006
02/2006,44486.530000000006
03/2006,46875.810000000005
04/2006,49661.33000000001
05/2006,47728.020000000004
06/2006,47316.21000000001
07/2006,47211.62
08/2006,49010.60000000001
09/2006,50016.85000000001
10/2006,53043.11000000001
11/2006,56645.19000000001
12/2006,59467.75000000001
01/2007,60540.79000000001
02/2007,61264.850000000006
03/2007,64698.97000000001
04/2007,68220.88
05/2007,69133.31000000003
06/2007,68025.31000000003
07/2007,67537.12000000001
08/2007,64586.670000000006
09/2007,64901.560000000005
10/2007,68586.54000000001
11/2007,62914.49
12/2007,60942.670000000006
01/2008,54471.560000000005
02/2008,56558.06
03/2008,56975.43000000001
04/2008,57845.83000000001
05/2008,58021.14
06/2008,51631.75000000001
07/2008,48995.8
08/2008,48164.86000000001
09/2008,38523.50000000001
10/2008,27302.65
11/2008,25106.120000000003
12/2008,26793.720000000005
01/2009,25395.110000000004
02/2009,23373.230000000003
03/2009,25813.570000000003
04/2009,34633.54
05/2009,39538.15
06/2009,39008.85000000001
07/2009,43276.48
08/2009,49449.33000000001
09/2009,53649.020000000004
10/2009,50550.8
11/2009,50376.32
12/2009,50474.73
01/2010,50016.340000000004
02/2010,47464.22
03/2010,52032.07000000001
04/2010,53055.20000000001
05/2010,44591.700000000004
06/2010,43579.33
07/2010,48935.98
08/2010,46340.810000000005
09/2010,52492.990000000005
10/2010,55378.28000000001
11/2010,50930.20000000001
12/2010,57621.12000000001
01/2011,59196.05000000002
02/2011,60632.66000000001
03/2011,60731.51000000001
04/2011,65042.65000000001
05/2011,62442.27
06/2011,59984.26000000002
07/2011,56969.170000000006
08/2011,50440.91
09/2011,43438.020000000004
10/2011,47548.06
11/2011,43848.04000000001
12/2011,41963.19000000001
01/2012,48096.93000000001
02/2012,51747.86000000001
03/2012,50495.33000000001
04/2012,48947.03000000001
05/2012,41286.310000000005
06/2012,44334.270000000004
07/2012,43668.82
08/2012,46389.05
09/2012,50011.87
10/2012,51373.75000000001
11/2012,51342.72000000001
12/2012,55123.48
01/2013,59508.04000000001
02/2013,58913.66000000001
03/2013,58341.79000000001
04/2013,61438.12000000001
05/2013,63440.20000000002
06/2013,60255.50000000001
07/2013,66653.52
08/2013,67452.38
09/2013,73770.23000000001
10/2013,77910.85
11/2013,79482.20000000001
12/2013,81842.6
01/2014,81230.57
02/2014,89285.04000000002
03/2014,89172.11000000002
04/2014,88991.16
05/2014,89221.88
06/2014,88332.35
07/2014,83773.17
08/2014,83353.51000000001
09/2014,78176.49
10/2014,74768.69
11/2014,75702.1
12/2014,74418.18000000001
01/2015,73453.01999999999
02/2015,80237.47000000002
03/2015,78075.82
04/2015,82437.26000000001
05/2015,82881.26000000001
06/2015,81434.31000000001
07/2015,82536.11000000003
08/2015,79063.19000000002
09/2015,75465.04000000001
10/2015,79401.22000000002
11/2015,78293.09000000001
12/2015,77690.33
01/2016,70756.61000000002
02/2016,70945.38
03/2016,77418.11000000002
04/2016,80075.73000000001
05/2016,79413.36000000002
06/2016,71148.27
07/2016,75492.79000000001
08/2016,76316.68000000001
09/2016,77511.14
10/2016,75361.57
11/2016,74100.27
12/2016,78357.35
01/2017,80971.40000000001
02/2017,81199.91
03/2017,84114.28000000001
04/2017,88919.72000000002
05/2017,91958.62
06/2017,90099.69
07/2017,94449.56000000001
08/2017,94349.41
09/2017,98544.2
10/2017,97970.54000000001
11/2017,98362.71
12/2017,101728.23000000001
01/2018,106970.03000000001
02/2018,101139.18000000001
03/2018,99501.03
04/2018,102742.75000000001
05/2018,99058.36000000002
06/2018,97611.51000000001
07/2018,99338.95000000001
08/2018,97014.47000000002
09/2018,96141.15000000001
10/2018,86814.3
11/2018,84183.1
12/2018,79169.59000000001
01/2019,86142.8
02/2019,88853.83000000002
03/2019,87564.95000000003
04/2019,91733.52000000002
05/2019,84029.65000000001
06/2019,88031.63
07/2019,85098.97000000003
08/2019,82958.13
09/2019,85731.90000000001
10/2019,90047.14000000001
11/2019,92411.06000000001
12/2019,98432.96
01/2020,94013.53
02/2020,85340.88
03/2020,62855.56
04/2020,69750.11000000002
05/2020,73004.33
06/2020,75230.09000000001
07/2020,78462.19
08/2020,84199.26000000001
09/2020,80633.76000000001
10/2020,76832.6
11/2020,95988.16000000002
12/2020,104157.21000000002
01/2021,103971.74000000002
02/2021,111597.72000000003
03/2021,115525.06000000001
04/2021,122010.61000000002
05/2021,128041.3
06/2021,121623.35
07/2021,124248.74000000002
08/2021,128275.86000000002
09/2021,122463.44
10/2021,125411.64000000001
11/2021,117238.20000000001
12/2021,124793.57
01/2022,119942.19
02/2022,116643.70000000003
03/2022,116076.38000000003
04/2022,110012.32000000002
05/2022,111521.63000000002
06/2022,95221.80000000002
07/2022,99756.28000000001
08/2022,92700.87000000001
09/2022,81219.15000000001
10/2022,88515.49000000002
11/2022,98601.90000000001
12/2022,100008.21
01/2023,111304.1
02/2023,112106.44000000002
03/2023,108713.32
04/2023,112846.85
05/2023,105075.29000000001
06/2023,109424.74
07/2023,115111.67000000001
08/2023,110113.31000000001
09/2023,105290.86000000002
10/2023,99786.40000000001
11/2023,111018.48000000001
12/2023,120263.40000000001
01/2024,116644.96000000002
02/2024,114887.70000000001
03/2024,120219.27000000002
04/2024,119435.07
05/2024,127927.80000000002
06/2024,120568.22000000002
07/2024,126451.55000000002
08/2024,128459.25000000001
09/2024,130901.76000000001
10/2024,121691.06000000001
11/2024,119613.59000000001
12/2024,118149.40000000001
01/2025,123867.46
02/2025,127567.91000000002
03/2025,130453.53
04/2025,138880.13
05/2025,148181.98
06/2025,155173.06000000003
07/2025,153315.78000000003
08/2025,156987.11000000002
09/2025,159047.27000000002
10/2025,158348.09000000003
11/2025,160163.86000000002
12/2025,167275.46
01/2026,175859.65000000002
02/2026,179668.28000000003
03/2026,158719.1